id,name,key_image
1,시즈오카,https://t1.daumcdn.net/cfile/tistory/2708E43E5246B62436
2,바다,https://thumb-wishbeen.akamaized.net/medium/img-wishbeen.akamaized.net/post/1467009699897_1024px-Furuzamami_beach_Okinawa_Zamami.jpg
3,온천,https://t2.daumcdn.net/thumb/R720x0/?fname=http://t1.daumcdn.net/brunch/service/user/1jPF/image/m393jAMcTZOMYXYOO6lA7pXwUy8.jpg
4,도쿄,https://c-lj.gnst.jp/public/article/detail/a/00/01/a0001495/img/basic/a0001495_main.jpg?20180709103351
5,디저트,https://c-lj.gnst.jp/public/article/detail/a/00/01/a0001627/img/ko/a0001627_parts_5a572165229e4.jpg?20181220110346
6,고베,http://image14.hanatour.com/uploads/2013/04/DSC00696.jpg
7,오사카,https://pds.joins.com/news/component/htmlphoto_mmdata/201610/11/htm_20161011223451757332.gif
8,간사이,https://blog.nadekon.net/wp-content/uploads/post-attachments/106/DSC00042-1-700x700.jpg
9,가마쿠라,https://thumb-wishbeen.akamaized.net/6TNqzVkyun_0fDLDS7AI8ZA32zs=/898x420/smart/filters:no_upscale()/img-wishbeen.akamaized.net/spot/1485245383898_diary006.jpg
10,가나가와현,https://www.universalhome.co.jp/iebana/wp-content/uploads/2018/06/6_6_1_33950630-750x500.jpg
11,규동,http://3.bp.blogspot.com/-uL_bzfJLP2o/UeNyYb8b-1I/AAAAAAAAAIQ/JLsmu4jkO38/s1600/20071011150143.jpg
12,시골,https://t1.daumcdn.net/cfile/tistory/140D654B4D1204B102
13,빵,http://cfile220.uf.daum.net/image/241AE14A5485031011DE51
14,주먹밥,http://mblogthumb4.phinf.naver.net/MjAxNzA4MDdfMSAg/MDAxNTAyMDg2MDM2MDI4.NK-OMc_FdjCRa3JR2RemLLdhemxWTNHmfwZAUV-LrY8g.4XUU604lThwHYzrnryqjtEXr9Kko_IXZGOFHA__fLRkg.JPEG.japansisa/onigiri3.jpg?type=w2
15,연어,http://college.koreadaily.com/wp-content/uploads/2017/01/1-12.jpg
16,돈까스,https://c-lj.gnst.jp/public/article/detail/a/00/02/a0002274/img/basic/a0002274_main.jpg?20180824171355
17,안주,http://www.hanintel.com/boards/data/cheditor4/1604/Pt1OVOgExf1bzMvJw2o4W.jpg
18,술,https://cbmpress.com/toronto/wp-content/uploads/sites/3/2017/06/1-8.jpg
19,신주쿠,https://post-phinf.pstatic.net/MjAxNzA5MjdfNDAg/MDAxNTA2NDg4ODU0ODQy.CUZ-fVAc0Wc7pDhm0cBXljm_grmEnmhOzLZXkRNAMvMg.da3FQptXiIwXFwq4k9oTOJr2CzJXknEZbDhbe1kRVIgg.JPEG/7.jpg?type=w1200
20,반찬,https://t1.daumcdn.net/cfile/tistory/99EE5B345AA6832A11
21,과일,https://japan-magazine.jnto.go.jp/jnto2wm/wp-content/uploads/1503_fruit_main.jpg
22,오키나와,http://mblogthumb3.phinf.naver.net/MjAxNzEyMjdfMjU3/MDAxNTE0MzM1MTc3MjM5.7Krex5tAMy1X7u5Ywte5qYE97qAgcFAXYsxImvHzDZYg.o03MdVdm3GCY7yWnDsBVTv2mTrV3q-YH_K54MBimk40g.JPEG.asia_enjoy/%EC%9D%BC%EB%B3%B8_%EC%98%A4%ED%82%A4%EB%82%98%EC%99%80%EC%97%AC%ED%96%89_%EC%98%A4%ED%82%A4%EB%82%98%EC%99%80%EB%A6%AC%EC%A1%B0%ED%8A%B8_16.jpg?type=w800
23,오다이바,http://mblogthumb4.phinf.naver.net/MjAxNzExMDlfMjQg/MDAxNTEwMjMwNzgwNjYz.rwQ8Zg2ZZZLYlfLavQRSHV48iCFM5dKv_53am0BQw0wg.JKRI_7cGcEfy6pzAqEg4RSKYfXTvKdbfcs18bJcJ0Ksg.JPEG.tjdrud34/%EC%9D%BC%EB%B3%B8_%EB%8F%84%EC%BF%84_%EC%97%AC%ED%96%89___%EC%98%A4%EB%8B%A4%EC%9D%B4%EB%B0%94_%EA%B1%B4%EB%8B%B4_%282%29.jpg?type=w800
24,가정식,http://food.chosun.com/site/data/img_dir/2016/08/30/2016083002496_2.jpg
25,해산물,http://pds21.egloos.com/pds/201107/29/96/e0063996_4e324b06d9b96.jpg
26,눈,https://st2.depositphotos.com/2051931/12411/i/950/depositphotos_124111790-stock-photo-japan-mountain-and-snow.jpg
27,라멘,https://post-phinf.pstatic.net/MjAxOTAxMThfODAg/MDAxNTQ3NzkzNTQwMjMz.5pBNbATn3R2UWxXLQo8mUdROyZxpzsIppZH9X4CU8R8g._ZeIoAqkt1LIOSy7DDKP7mBDIQ5zyXbWxkwrcd0SU_og.JPEG/%EC%9D%BC%EB%B3%B8%EB%9D%BC%EB%A9%B4.jpg?type=w1200
28,가가와현,https://img.hankyung.com/photo/201707/AA.14340456.1.jpg
29,우동,http://img.wemep.co.kr/deal/4/809/2248094/d402da502a0b4483d68247a1a50d3f72d012c89a.jpg
30,히다후루카와,https://t1.daumcdn.net/cfile/tistory/26382D405876D57415
31,후쿠오카,https://d2ahiw9kb7is19.cloudfront.net/-/media/DA10660EF5BC47F3A3CA2BD2A434467F.jpg?d=20171117T114057&w=750
32,이쿠시마,https://t1.daumcdn.net/cfile/tistory/994DCE4C5C5A3B0B2B
33,규슈,https://t1.daumcdn.net/cfile/tistory/235BFB4D53B6100901?original
34,다네가시마,https://www.kagoshima-kankou.com/image_cv.php?type=o&w=670&h=448&f=/db_img/cl_img/10777/75735D0C792AD4275D7120D0EE2C45A6.jpg
35,나가노,http://www.go-nagano.net/images/top_ss_kiso.jpg
36,훗카이도,http://t1.daumcdn.net/liveboard/tourbaksa/11f43580d6734ec3bd3e75809ebd682d.JPG
37,시마온천,https://d3ckh6ntr7xwal.cloudfront.net/uploads/timeline/image/2023/20180320162047.jpg
38,군마,https://www.jalan.net/assets/global/kor/img/pages/pref_top/about_Gunma.jpg
39,시야마,https://us.123rf.com/450wm/seaonweb/seaonweb1401/seaonweb140102411/26188692-%EC%82%AC%EA%B0%80%EB%9D%BC-%EC%8B%9C%EC%95%BC-%EB%A7%88.jpg?ver=6
40,스시,https://resources.matcha-jp.com/resize/720x2000/2017/01/20-14267.jpeg
