id,title,keywords,code,imageUrl
1,행복목욕탕,"[1,2,3]",20161799,https://movie-phinf.pstatic.net/20170228_143/1488245074447LX2Np_JPEG/movie_image.jpg
2,앙:단팥 인생이야기,"[4,5]",20151623,https://movie-phinf.pstatic.net/20150807_87/14389125534750ate3_JPEG/movie_image.jpg
3,미나미 양장점의 비밀,"[6,7,8,5]",20163045,https://movie-phinf.pstatic.net/20160425_126/1461572676560b9fdE_JPEG/movie_image.jpg
4,바닷마을 다이어리,"[9,10,4,12]",20156102,https://movie-phinf.pstatic.net/20151109_152/1447031077714vyf9Q_JPEG/movie_image.jpg
5,요시노 이발관,"[1,3,12]",20090344,https://movie-phinf.pstatic.net/20111223_50/1324586057101BOTND_JPEG/movie_image.jpg
6,카모메식당,"[13,5,14,15,16]",20070390,https://movie-phinf.pstatic.net/20160203_157/1454467296351LzwR6_JPEG/movie_image.jpg
7,심야식당,"[17,18,19,4,19]",20173833,https://movie-phinf.pstatic.net/20150511_4/1431330764415K5DXQ_JPEG/movie_image.jpg
8,리틀 포레스트: 여름과 가을,"[12,20,5,21]",20145203,https://movie-phinf.pstatic.net/20150114_206/1421200132061BpI2D_JPEG/movie_image.jpg
9,안경,"[22,2,24,25]",20070665,https://movie-phinf.pstatic.net/20111222_100/1324535230290PtLdH_JPEG/movie_image.jpg
10,해피 해피 브레드,"[13,5]",20126446,https://movie-phinf.pstatic.net/20120604_50/1338795796070dwmOe_JPEG/movie_image.jpg
11,양과자점 코안도르,"[13,5]",20110986,https://movie-phinf.pstatic.net/20111223_238/1324640834839VIFyx_JPEG/movie_image.jpg
12,남극의 쉐프,"[26,24,25,27]",20100083,https://movie-phinf.pstatic.net/20111223_62/1324605642248KRRva_JPEG/movie_image.jpg
13,달팽이 식당,"[12,5]",20163407,https://movie-phinf.pstatic.net/20160802_267/1470106362241IL294_JPEG/movie_image.jpg
14,우동,"[28,27,29]",20068841,https://movie-phinf.pstatic.net/20111222_105/1324480593472MOxF0_JPEG/movie_image.jpg
15,스시 장인: 지로의 꿈,"[40,41]",20129286,https://movie-phinf.pstatic.net/20120823_120/1345691635525KJlrn_JPEG/movie_image.jpg
16,너의 이름은,"[4,30,12,71]",20161872,https://movie-phinf.pstatic.net/20171222_70/1513920001726sikUX_JPEG/movie_image.jpg
17,일본침몰,"[7,8,71,4,72,31]",20060241,https://movie-phinf.pstatic.net/20111222_186/1324505941965itzt8_JPEG/movie_image.jpg
18,원령공주,"[73,33,32,12]",20030047,https://movie-phinf.pstatic.net/20111222_63/1324483671210VVU36_JPEG/movie_image.jpg
19,초속 5센티미터,"[73,34,2]",20070202,https://movie-phinf.pstatic.net/20171027_14/15090665302182iwAz_JPEG/movie_image.jpg
20,지금 만나러 갑니다,[35],20050042,https://movie-phinf.pstatic.net/20180403_286/1522736958040KRAkQ_JPEG/movie_image.jpg
